"","Team","Athlete","Score","Remark","Sex","Group","Form"
"1421","RUS","Aleksandra TOLSTIKOVA",8.88,"1st Category Prize","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1422","UKR","OLENA BILA",8.78,"2nd Category Prize","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1423","IND","KARAMJIT KAUR",8.74,"3rd Category Prize","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1424","CZE","Veronika Partikova",8.7,"3rd Category Prize","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1425","COL","MAIRA PAMELA GONZALEZ SIERRA",8.67,"","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1426","MAS","SOO LING KEE",8.6,"","W","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1427","UKR","Andriy Fehetsyn",9.02,"1st Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1428","HKG","ZHU Yuanpeng",9.02,"1st Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1429","RUS","Igor MOROZ",9.01,"2nd Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1430","YEM","BASSAM AHMED LWZA",8.93,"3rd Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1431","CAN","Daryl Whei Chin",8.79,"3rd Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1432","SRI","P.JEEWAN MADURANGA",8.77,"3rd Category Prize","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1433","AUS","Gee Jhung Siu",8.73,"","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1434","CAN","Colin Barry Young",8.62,"","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1435","FRA","GU Nicolas",8.62,"","M","Group C"," Nan Gun (Southern Staff/Cudgel)"
"1436","MAC","NG CHAN PONG",8.97,"1st Category Prize","M","Group C"," Qiang (Spear)"
"1437","FRA","MBOUYOM Franck",8.88,"2nd Category Prize","M","Group C"," Qiang (Spear)"
"1438","BRA","Ellison de Sousa COSTA",8.85,"3rd Category Prize","M","Group C"," Qiang (Spear)"
"1439","MAC","MA CHON WONG",8.81,"3rd Category Prize","M","Group C"," Qiang (Spear)"
"1440","AUS","Kristoffer Eberius",8.8,"","M","Group C"," Qiang (Spear)"
"1441","BRA","Marco Aparecido Martim JUNIOR",8.77,"","M","Group C"," Qiang (Spear)"
"1442","FRA","BAZI Ichem",8.7,"","M","Group C"," Qiang (Spear)"
"1443","BRA","Fabricio OSAKU",8.8,"1st Category Prize","M","Group C"," Daggers"
"1444","POL","Tomasz Bilut",8.76,"2nd Category Prize","M","Group C"," Daggers"
"1445","MAS","CHUN ONN LIAU",8.7,"3rd Category Prize","M","Group C"," Daggers"
"1446","BRA","Miguel de Oliveira MANACERO",8.84,"1st Category Prize","M","Group B"," Pudao"
"1447","UKR","Yudin Bohdan",8.81,"2nd Category Prize","M","Group B"," Pudao"
"1448","RSA","Carlin GLANSBEEK",8.77,"3rd Category Prize","M","Group B"," Pudao"
"1449","CAN","Peter Nai Ming Guo",8.76,"3rd Category Prize","M","Group B"," Pudao"
"1450","USA","Abhirup DASGUPTA",8.59,"","M","Group B"," Pudao"
"1451","TUR","Necmettin erbakan AKYUZ",7.98,"","M","Group B"," Pudao"
"1452","RUS","Alexey NAZINKIN",9.15,"1st Category Prize","M","Group C"," Pudao"
"1453","UKR","ROMAN REVA",9.03,"2nd Category Prize","M","Group C"," Pudao"
"1454","MAC","KONG CHIN IEONG",8.88,"2nd Category Prize","M","Group C"," Pudao"
"1455","RSA","Matthew Harold AGNEW",8.8,"3rd Category Prize","M","Group C"," Pudao"
"1456","ITA","Alberto DI MUZIO",8.77,"3rd Category Prize","M","Group C"," Pudao"
"1457","SVK","Jan HARGAS",8.74,"","M","Group C"," Pudao"
"1458","HKG","LI Kwai Yuen",8.7,"","M","Group C"," Pudao"
"1459","MAR","MOHAMED AJBAH",8.7,"","M","Group C"," Pudao"
"1460","USA","Sen GAO",9.05,"1st Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1461","TPE","LIN ting han",9,"2nd Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1462","RUS","Vadim ASTAFEV",8.98,"2nd Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1463","MAS","HENG XIAN LEE",8.95,"3rd Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1464","EGY","Amir Elsayed Meabd Abdeltwab",8.93,"3rd Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1465","SRI","H.M.P.MANURANGA",8.85,"3rd Category Prize","M","Group C"," Guandao (Kwan Dao)"
"1466","IRI","mohsen roozbahani",8.79,"","M","Group C"," Guandao (Kwan Dao)"
"1467","BRA","Everton DAVANZO",8.76,"","M","Group C"," Guandao (Kwan Dao)"
"1468","FRA","GIOT Robin",8.43,"","M","Group C"," Guandao (Kwan Dao)"
"1469","BOL","You Huang",8.91,"1st Category Prize","M","Group D"," Guandao (Kwan Dao)"
"1470","BRA","Marco Antonio CARDODO",8.84,"2nd Category Prize","M","Group D"," Guandao (Kwan Dao)"
"1471","RUS","Eduard KURCHENKO",8.79,"3rd Category Prize","M","Group D"," Guandao (Kwan Dao)"
"1472","IRI","hassan ghasemi soltanabadi",8.78,"3rd Category Prize","M","Group D"," Guandao (Kwan Dao)"
"1473","MAR","ABDELKADER BENGADARI",8.77,"","M","Group D"," Guandao (Kwan Dao)"
"1474","MAR","MOHAMED LAOUJ",8.73,"","M","Group D"," Guandao (Kwan Dao)"
"1475","USA","Kaylie SHOOK",8.63,"1st Category Prize","W","Group A"," Traditional Single Weapon"
"1476","USA","Rachel YANG",8.54,"2nd Category Prize","W","Group A"," Traditional Single Weapon"
"1477","USA","Elise YEUNG",8.51,"3rd Category Prize","W","Group A"," Traditional Single Weapon"
"1478","USA","Chloe SHIUE",8.45,"3rd Category Prize","W","Group A"," Traditional Single Weapon"
"1479","INA","KEISYA AZAHRA",8.41,"","W","Group A"," Traditional Single Weapon"
"1480","USA","John HU",8.5,"1st Category Prize","M","Group A"," Traditional Single Weapon"
"1481","TPE","CHEN yao tso",8.49,"2nd Category Prize","M","Group A"," Traditional Single Weapon"
"1482","USA","Michael LU",8.47,"2nd Category Prize","M","Group A"," Traditional Single Weapon"
"1483","USA","Noah YEUNG",8.46,"3rd Category Prize","M","Group A"," Traditional Single Weapon"
"1484","USA","Anthony GUAN",8.42,"3rd Category Prize","M","Group A"," Traditional Single Weapon"
"1485","USA","Daniel WANG",8.41,"3rd Category Prize","M","Group A"," Traditional Single Weapon"
"1486","USA","Banyan JULLIAN",8.41,"3rd Category Prize","M","Group A"," Traditional Single Weapon"
"1487","KAZ","Orazaly Ramazan",8.34,"","M","Group A"," Traditional Single Weapon"
"1488","USA","Brad WU",8.33,"","M","Group A"," Traditional Single Weapon"
"1489","MAS","KAI WEN YANG",8.28,"","M","Group A"," Traditional Single Weapon"
"1490","USA","Donghe ZHANG",8.28,"","M","Group A"," Traditional Single Weapon"
"1491","BOL","Huaskar Huanacuni Pinedo",7.73,"","M","Group A"," Traditional Single Weapon"
"1492","USA","Mia SHIUE",8.81,"1st Category Prize","W","Group B"," Other Traditional Single Weapon"
"1493","GEO","MARIAM TURMANIDZE",8.75,"2nd Category Prize","W","Group B"," Other Traditional Single Weapon"
"1494","TPE","WU pei chen",8.73,"2nd Category Prize","W","Group B"," Other Traditional Single Weapon"
"1495","MAC","WONG SAM UT",8.71,"3rd Category Prize","W","Group B"," Other Traditional Single Weapon"
"1496","TPE","CHEN yu han",8.69,"3rd Category Prize","W","Group B"," Other Traditional Single Weapon"
"1497","USA","Audrey YUNG",8.64,"3rd Category Prize","W","Group B"," Other Traditional Single Weapon"
"1498","LAT","Polina Malahova",8.62,"","W","Group B"," Other Traditional Single Weapon"
"1499","IRI","bahar jokar",8.56,"","W","Group B"," Other Traditional Single Weapon"
"1500","USA","Angela SONG",8.56,"","W","Group B"," Other Traditional Single Weapon"
"1501","ROU","Serbanescu Mara",8.42,"","W","Group B"," Other Traditional Single Weapon"
"1502","USA","Andre MAGNUM",8.9,"1st Category Prize","M","Group B"," Other Traditional Single Weapon"
"1503","GER","Jessy Merten",8.85,"2nd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1504","TPE","KUO hsuan kai",8.77,"2nd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1505","USA","Seth ROSEN",8.75,"3rd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1506","USA","Mason BRAYTON",8.7,"3rd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1507","INA","MUHAMMAD RAFID ARYOKUSUMO",8.68,"3rd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1508","USA","Josh WEINSTEIN",8.67,"3rd Category Prize","M","Group B"," Other Traditional Single Weapon"
"1509","TPE","CHANG yu hsien",8.64,"","M","Group B"," Other Traditional Single Weapon"
"1510","LAT","Daniils Kirjusins",8.61,"","M","Group B"," Other Traditional Single Weapon"
"1511","ROU","Grigorescu Anton Adamani",8.57,"","M","Group B"," Other Traditional Single Weapon"
"1512","SRI","M.CHATHUSHAN PERERA",8.57,"","M","Group B"," Other Traditional Single Weapon"
"1513","PER","JOSE FELIX TATAJE MARTEL",8.36,"","M","Group B"," Other Traditional Single Weapon"
"1514","HKG","YUEN Ka Ying",9.15,"1st Category Prize","W","Group C"," Other Traditional Single Weapon"
"1515","CHN","LI DAN",9.06,"1st Category Prize","W","Group C"," Other Traditional Single Weapon"
"1516","UKR","Varlamova Nataliia",9.05,"2nd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1517","HKG","LOR Sum Lok Holly",8.9,"2nd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1518","RUS","Anastasia ANTIPINA",8.84,"2nd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1519","NED","Linda Eleonora",8.82,"3rd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1520","MAS","PEI CHEE LAI",8.78,"3rd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1521","MAC","HAO LEI U",8.69,"3rd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1522","CAN","Sincere Sin-Sze Ip",8.66,"3rd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1523","KGZ","Gulfiia DZHOLCHUBEKOVA",8.65,"3rd Category Prize","W","Group C"," Other Traditional Single Weapon"
"1524","CZE","Alzbeta Rouzkova",8.62,"","W","Group C"," Other Traditional Single Weapon"
"1525","KGZ","Eles KOKUMBEK KYZY",8.58,"","W","Group C"," Other Traditional Single Weapon"
"1526","KGZ","Aisulu ASANKULOVA",8.56,"","W","Group C"," Other Traditional Single Weapon"
"1527","RSA","Nerine DU PLESSIS",8.5,"","W","Group C"," Other Traditional Single Weapon"
"1528","FRA","TEXIER Anne",8.41,"","W","Group C"," Other Traditional Single Weapon"
"1529","CAN","Kimberly Danielle Jordan",8.26,"","W","Group C"," Other Traditional Single Weapon"
"1530","USA","Ebert KAN",8.94,"1st Category Prize","M","Group E"," Other Traditional Single Weapon"
"1531","RUS","Vladimir INSANOV",8.86,"1st Category Prize","M","Group E"," Other Traditional Single Weapon"
"1532","MAS","EWE HOCK TEH",8.83,"2nd Category Prize","M","Group E"," Other Traditional Single Weapon"
"1533","BOL","Ernesto Rodriguez Sanchez",8.8,"2nd Category Prize","M","Group E"," Other Traditional Single Weapon"
"1534","MAS","SENG BOX SAW",8.79,"3rd Category Prize","M","Group E"," Other Traditional Single Weapon"
"1535","ARG","Juan Jose Naranjo",8.77,"3rd Category Prize","M","Group E"," Other Traditional Single Weapon"
"1536","KGZ","Evgenii LOPATKIN",8.76,"3rd Category Prize","M","Group E"," Other Traditional Single Weapon"
"1537","AUS","Brian Corless",8.75,"","M","Group E"," Other Traditional Single Weapon"
"1538","MAS","WENG SENG NG",8.75,"","M","Group E"," Other Traditional Single Weapon"
"1539","USA","Freddie HARPER",8.7,"","M","Group E"," Other Traditional Single Weapon"
"1540","RUS","Vladimir MAXIMOV",9.08,"1st Category Prize","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1541","GER","Sven Teichmann",8.87,"2nd Category Prize","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1542","ITA","Antonino STORNIOLO",8.83,"2nd Category Prize","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1543","MAC","FOK CHAN KEONG",8.78,"3rd Category Prize","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1544","IRI","mahdi heidari esfandarani",8.76,"3rd Category Prize","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1545","MEX","Fernando CARDONA",8.73,"","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1546","USA","Jacob JANSEN",8.73,"","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1547","USA","Stanley D AMATO",8.67,"","M","Group C"," Jiu Jie Bian (Nine Section Whip Chain)"
"1548","ESP","LUIS CALLE PANIAGUA",8.98,"1st Category Prize","M","Group C"," Other Traditional Flexible/Soft Weapon"
"1549","USA","Jeffrey CHON",8.86,"2nd Category Prize","M","Group C"," Other Traditional Flexible/Soft Weapon"
"1550","USA","Tony LENG",8.84,"3rd Category Prize","M","Group C"," Other Traditional Flexible/Soft Weapon"
"1551","LAT","Aleksandrs Gorskis",8.72,"","M","Group C"," Other Traditional Flexible/Soft Weapon"
"1552","RUS","Andrey MORKOVKIN",9.02,"1st Category Prize","M","Group C"," San Jie Gun (Three Section Staff)"
"1553","USA","Roger ROSALES",8.91,"2nd Category Prize","M","Group C"," San Jie Gun (Three Section Staff)"
"1554","NED","Nelson da Luz Bentes",8.8,"3rd Category Prize","M","Group C"," San Jie Gun (Three Section Staff)"
"1555","ESP","VICENTE MIGUEL RAJA CATALA",8.62,"3rd Category Prize","M","Group C"," San Jie Gun (Three Section Staff)"
"1556","IRI","ali akbar hojjati pour",8.61,"","M","Group C"," San Jie Gun (Three Section Staff)"
"1557","BRU","Li Hui",9.07,"1st Category Prize","M","Group D"," Traditional Soft Weapon"
"1558","BRA","Jose Carlos BARBOSA",9,"2nd Category Prize","M","Group D"," Traditional Soft Weapon"
"1559","ROU","Serbanescu Mihai",8.9,"3rd Category Prize","M","Group D"," Traditional Soft Weapon"
"1560","USA","Juan Carlos PROANO",8.88,"3rd Category Prize","M","Group D"," Traditional Soft Weapon"
"1561","USA","Wade BLEVINS",8.84,"","M","Group D"," Traditional Soft Weapon"
"1562","JPN","HIDEAKI MURAI",8.65,"","M","Group D"," Traditional Soft Weapon"
"1563","USA","Phillip DANG",8.98,"1st Category Prize","M","Group C"," Other Traditional Single Weapon"
"1564","JPN","KENTA OCHI",8.96,"2nd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1565","RSA","Thor VAN DER MESCHT",8.92,"2nd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1566","GEO","DAVID GULISASHVIILI",8.9,"2nd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1567","SRI","J.M.HIRUSHA MADUSHANKA",8.85,"3rd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1568","NOR","Kim Gibson",8.84,"3rd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1569","HKG","SUEN Hung Kong",8.84,"3rd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1570","CAN","Zachary James Joslin Beauchamp",8.82,"3rd Category Prize","M","Group C"," Other Traditional Single Weapon"
"1571","FRA","CONTOZ Eudes",8.78,"","M","Group C"," Other Traditional Single Weapon"
"1572","YEM","YOUSEF ALI AL-KHUDHARI",8.77,"","M","Group C"," Other Traditional Single Weapon"
"1573","PER","MIGUEL ANGEL PASTOR CALDERON",8.76,"","M","Group C"," Other Traditional Single Weapon"
"1574","RUS","Andrey ASKAROV",8.73,"","M","Group C"," Other Traditional Single Weapon"
"1575","GRE","TSOLAKIDIS DIMITRIOS",8.7,"","M","Group C"," Other Traditional Single Weapon"
"1576","SRI","M.M.R.MALINDA JAYASINGHE",8.68,"","M","Group C"," Other Traditional Single Weapon"
"1577","CHN","LIU XIN",8.98,"1st Category Prize","W","Group D"," Other Traditional Weapon"
"1578","AUS","Sandra Cathro",8.94,"2nd Category Prize","W","Group D"," Other Traditional Weapon"
"1579","USA","Jennifer WEITZ",8.93,"2nd Category Prize","W","Group D"," Other Traditional Weapon"
"1580","KGZ","Natalia NESHCHERET",8.87,"2nd Category Prize","W","Group D"," Other Traditional Weapon"
"1581","ROU","Vladut Roxana Ileana",8.85,"3rd Category Prize","W","Group D"," Other Traditional Weapon"
"1582","USA","Lin GAO",8.83,"3rd Category Prize","W","Group D"," Other Traditional Weapon"
"1583","BRA","Selma Kazue SAKATE",8.82,"3rd Category Prize","W","Group D"," Other Traditional Weapon"
"1584","AUS","Rosemary Hermans",8.8,"3rd Category Prize","W","Group D"," Other Traditional Weapon"
"1585","FRA","PROVENCHER Judith",8.78,"","W","Group D"," Other Traditional Weapon"
"1586","USA","Rhonda HARJO",8.78,"","W","Group D"," Other Traditional Weapon"
"1587","KGZ","Elena PAVLENKO",8.77,"","W","Group D"," Other Traditional Weapon"
"1588","AUS","Eugenia Ngau",8.76,"","W","Group D"," Other Traditional Weapon"
"1589","KGZ","Tatiana PAK",8.71,"","W","Group D"," Other Traditional Weapon"
"1590","CHN","WANG CHAO",9.07,"1st Category Prize","M","Group D"," Other Traditional Single Weapon"
"1591","USA","Christopher SHEPHERD",9.06,"2nd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1592","POL","Roman Lichacz",9.03,"2nd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1593","LAT","Romans Vlasenko",9.01,"2nd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1594","GER","Sergej Merten",9,"3rd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1595","MAS","BAN CHOON HNG",9,"3rd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1596","AUS","John Callaghan",8.96,"3rd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1597","LAT","Aleksejs Gailiss",8.93,"3rd Category Prize","M","Group D"," Other Traditional Single Weapon"
"1598","LAT","Anatolijs Kiselovs",8.92,"","M","Group D"," Other Traditional Single Weapon"
"1599","FRA","ROMERO Hrod",8.9,"","M","Group D"," Other Traditional Single Weapon"
"1600","COL","ALVARO LEON MEDINA",8.83,"","M","Group D"," Other Traditional Single Weapon"
"1601","USA","Sze Yen LIN",8.83,"","M","Group D"," Other Traditional Single Weapon"
"1602","SRI","S.D.L. KARUNARATHNA",8.79,"","M","Group D"," Other Traditional Single Weapon"
"1603","CAN","Henry Ging",8.86,"1st Category Prize","M","Group D"," Nangun"
"1604","CAN","Ivo Guillermo Gonzalez",8.83,"2nd Category Prize","M","Group D"," Nangun"
"1605","CAN","Desmond Mark Lee",8.8,"3rd Category Prize","M","Group D"," Nangun"
"1606","CAN","David Tomlinson",8.74,"3rd Category Prize","M","Group D"," Nangun"
"1607","CAN","Ira Charles Robinson II",8.72,"","M","Group D"," Nangun"
"1608","CAN","Victor Melville Lough",8.72,"","M","Group D"," Nangun"
"1609","CAN","Monte Lamond Watson",8.7,"","M","Group D"," Nangun"
